condition_id,source,week_start,sentiment_score,sentiment_direction,post_count
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2023-12-11 00:00:00,0.04365,0,2
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2023-12-18 00:00:00,-0.30867,-1,3
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2023-12-25 00:00:00,-0.62323,-1,3
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-01-01 00:00:00,0.0392,0,13
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-01-08 00:00:00,-0.94895,-1,2
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-01-15 00:00:00,-0.1256,-1,5
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-01-22 00:00:00,-0.16526,-1,5
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-01-29 00:00:00,-0.32593,-1,3
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-02-12 00:00:00,-0.10894,-1,5
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-03-04 00:00:00,-0.14343,-1,3
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-03-18 00:00:00,-0.1788,-1,3
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-04-01 00:00:00,0.8786,1,2
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-04-15 00:00:00,-0.776,-1,3
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-04-22 00:00:00,-0.94767,-1,3
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-05-06 00:00:00,0.0678,1,2
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-06-03 00:00:00,-0.0382,0,5
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-06-10 00:00:00,0.1677,1,2
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-06-17 00:00:00,-0.1998,-1,3
0x308f90fa510f7ef7319e8d9948511abdae4d47032ef1421138f20b2ec5e73f03,truth_social,2024-06-24 00:00:00,-0.64563,-1,3
0x36ba60d18ab5be0e82413d57458f8ea93bfe349e9d3ed6369d3202e3b3a2b6c4,truth_social,2024-01-01 00:00:00,-0.90377,-1,3
0x36ba60d18ab5be0e82413d57458f8ea93bfe349e9d3ed6369d3202e3b3a2b6c4,truth_social,2024-05-06 00:00:00,-0.4513,-1,2
0xc5db10fafffb5283a093c435ce617a61f0127e3a24a57419e7d25550c6b8df38,truth_social,2024-01-22 00:00:00,-0.31465,-1,2
0x9fce1292bea6748addd9a96632ab7455f64028671816e964a692686573079574,truth_social,2024-01-29 00:00:00,0.7366,1,2
0x9fce1292bea6748addd9a96632ab7455f64028671816e964a692686573079574,truth_social,2024-03-04 00:00:00,0.0154,0,2
0x9fce1292bea6748addd9a96632ab7455f64028671816e964a692686573079574,truth_social,2024-03-11 00:00:00,0.49827,1,3
0x9fce1292bea6748addd9a96632ab7455f64028671816e964a692686573079574,truth_social,2024-04-15 00:00:00,-0.2486,-1,3
0x9fce1292bea6748addd9a96632ab7455f64028671816e964a692686573079574,truth_social,2024-04-22 00:00:00,-0.3791,-1,2
0x9fce1292bea6748addd9a96632ab7455f64028671816e964a692686573079574,truth_social,2024-07-01 00:00:00,0.3883,1,2
0x9fce1292bea6748addd9a96632ab7455f64028671816e964a692686573079574,truth_social,2024-07-15 00:00:00,0.5093,1,2
0x9fce1292bea6748addd9a96632ab7455f64028671816e964a692686573079574,truth_social,2024-07-22 00:00:00,-0.4387,-1,2
0x9fce1292bea6748addd9a96632ab7455f64028671816e964a692686573079574,truth_social,2024-08-19 00:00:00,-0.82623,-1,3
0x9fce1292bea6748addd9a96632ab7455f64028671816e964a692686573079574,truth_social,2024-09-02 00:00:00,-0.45557,-1,3
0x9fce1292bea6748addd9a96632ab7455f64028671816e964a692686573079574,truth_social,2024-11-25 00:00:00,-0.84205,-1,2
0x9fce1292bea6748addd9a96632ab7455f64028671816e964a692686573079574,truth_social,2024-12-02 00:00:00,0.27263,1,3
0xa1c6e9c9469d3f6da01684825c525a048872e173518b23791f517bf9f9f8fb97,truth_social,2024-02-12 00:00:00,0.1041,1,2
0xe5a7c7e4174cc3fe3c98dc53250e7850438ca28c3ec926e7a001578d942cf5c4,truth_social,2024-03-04 00:00:00,-0.14343,-1,3
0xe5a7c7e4174cc3fe3c98dc53250e7850438ca28c3ec926e7a001578d942cf5c4,truth_social,2024-03-18 00:00:00,-0.0129,0,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-04-01 00:00:00,0.8786,1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-04-15 00:00:00,-0.72195,-1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-04-22 00:00:00,-0.94045,-1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-06-03 00:00:00,-0.0382,0,5
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-06-10 00:00:00,0.1677,1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-06-17 00:00:00,-0.1998,-1,3
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-06-24 00:00:00,-0.79075,-1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-07-08 00:00:00,-0.93685,-1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-07-15 00:00:00,-0.05646,-1,5
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-07-22 00:00:00,-0.49987,-1,3
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-07-29 00:00:00,-0.74607,-1,3
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-08-19 00:00:00,-0.69795,-1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-09-02 00:00:00,-0.34168,-1,4
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-09-09 00:00:00,-0.10247,-1,3
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-09-16 00:00:00,-0.7258,-1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-09-30 00:00:00,0.0086,0,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-11-11 00:00:00,0.9187,1,2
0x7970aad0f57cc6e4b4227affdb969e8a6db419db839dcf522c451d38175534a3,truth_social,2024-11-25 00:00:00,0.9556,1,2
